customer_id,name,email,phone,status,created_date,notes
4001,Customer 4001,customer4001@email.com,555-4001,active,2024-03-01,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4002,Customer 4002,customer4002@email.com,555-4002,active,2024-03-02,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4003,Customer 4003,customer4003@email.com,555-4003,active,2024-03-03,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4004,Customer 4004,customer4004@email.com,555-4004,active,2024-03-04,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4005,Customer 4005,customer4005@email.com,555-4005,active,2024-03-05,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4006,Customer 4006,customer4006@email.com,555-4006,active,2024-03-06,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4007,Customer 4007,customer4007@email.com,555-4007,active,2024-03-07,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4008,Customer 4008,customer4008@email.com,555-4008,active,2024-03-08,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4009,Customer 4009,customer4009@email.com,555-4009,active,2024-03-09,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4010,Customer 4010,customer4010@email.com,555-4010,active,2024-03-10,This is a very long note field that contains a lot of text to simulate large data volume. Lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
